hash_id,age,gender,member_class,contact_member_class,mobile_owned_class,newsletter_received,integrated_datetime
cust_00000069,24,M,Bronze,OK,Y,N,2024-03-23 14:48:42.493602
cust_00000070,72,F,Basic,NG,Y,Y,2023-08-13 14:48:42.493602
cust_00000071,52,M,Basic,NG,Y,Y,2025-08-15 14:48:42.493602
cust_00000072,30,M,Basic,OK,Y,Y,2023-12-25 14:48:42.493602
cust_00000073,18,F,Bronze,OK,Y,N,2023-11-11 14:48:42.493602
cust_00000074,54,F,Silver,OK,Y,Y,2024-04-14 14:48:42.493602
cust_00000075,49,M,Basic,NG,Y,N,2025-02-23 14:48:42.493602
cust_00000076,50,F,Silver,OK,Y,Y,2024-02-14 14:48:42.493602
cust_00000077,52,M,Silver,OK,Y,N,2023-09-24 14:48:42.493602
cust_00000078,23,F,Silver,OK,Y,Y,2025-03-21 14:48:42.493602
cust_00000079,36,F,Gold,OK,Y,Y,2025-02-20 14:48:42.493602
cust_00000080,26,F,Basic,OK,Y,N,2023-04-16 14:48:42.493602
cust_00000081,57,F,Bronze,OK,Y,N,2024-04-21 14:48:42.493602
cust_00000082,46,F,Bronze,OK,Y,N,2024-07-21 14:48:42.493602
cust_00000083,35,M,Bronze,OK,Y,N,2023-01-05 14:48:42.493602
cust_00000084,23,F,Bronze,OK,Y,N,2024-07-18 14:48:42.493602
cust_00000085,34,F,Premium,OK,Y,Y,2025-07-29 14:48:42.493602
cust_00000086,35,F,Bronze,OK,Y,N,2023-06-08 14:48:42.493602
cust_00000087,50,M,Bronze,NG,Y,N,2023-07-31 14:48:42.493602
cust_00000088,46,F,Silver,OK,Y,Y,2024-06-13 14:48:42.493602
cust_00000089,58,M,Bronze,OK,Y,N,2024-03-11 14:48:42.493602
cust_00000090,40,F,Silver,OK,Y,Y,2024-07-26 14:48:42.493602
cust_00000091,26,F,Silver,OK,Y,Y,2023-09-06 14:48:42.493602
cust_00000092,49,F,Gold,OK,Y,N,2023-04-24 14:48:42.493602
cust_00000093,51,M,Silver,OK,Y,Y,2023-08-15 14:48:42.493602
cust_00000094,43,F,Basic,OK,Y,Y,2025-01-15 14:48:42.493602
cust_00000095,52,F,Basic,OK,Y,Y,2022-12-28 14:48:42.493602
cust_00000096,41,F,Silver,OK,Y,Y,2024-07-11 14:48:42.493602
cust_00000097,42,M,Bronze,OK,Y,Y,2023-07-18 14:48:42.493602
cust_00000098,39,F,Bronze,OK,Y,N,2022-10-21 14:48:42.493602
cust_00000099,20,F,Silver,OK,N,N,2023-03-12 14:48:42.493602
cust_00000100,26,F,Gold,OK,Y,N,2025-07-05 14:48:42.493602
cust_00000101,20,F,Basic,OK,N,Y,2025-04-01 14:48:42.493602
cust_00000102,46,M,Bronze,OK,Y,N,2022-12-14 14:48:42.493602
cust_00000103,35,M,Basic,OK,Y,N,2025-06-02 14:48:42.493602
cust_00000104,41,F,Silver,OK,Y,Y,2024-06-21 14:48:42.493602
cust_00000105,60,F,Bronze,NG,Y,N,2022-12-15 14:48:42.493602
cust_00000106,32,F,Silver,NG,Y,N,2024-07-16 14:48:42.493602
cust_00000107,38,F,Silver,OK,N,Y,2024-02-22 14:48:42.493602
cust_00000108,51,F,Bronze,OK,Y,Y,2023-03-24 14:48:42.493602
cust_00000109,31,M,Silver,OK,Y,N,2025-05-21 14:48:42.493602
cust_00000110,24,M,Gold,OK,Y,Y,2023-08-28 14:48:42.493602
cust_00000111,34,M,Silver,NG,N,N,2023-05-06 14:48:42.493602
cust_00000112,28,M,Premium,NG,Y,Y,2025-01-05 14:48:42.493602
cust_00000113,62,M,Bronze,NG,Y,Y,2023-06-12 14:48:42.493602
cust_00000114,54,M,Bronze,OK,Y,N,2023-12-15 14:48:42.493602
cust_00000115,46,F,Gold,OK,Y,Y,2023-03-10 14:48:42.493602
cust_00000116,57,M,Gold,NG,Y,N,2024-04-09 14:48:42.493602
cust_00000117,53,F,Gold,OK,Y,Y,2023-01-31 14:48:42.493602
cust_00000118,29,F,Bronze,NG,Y,Y,2024-12-26 14:48:42.493602
cust_00000119,59,M,Gold,OK,Y,Y,2024-05-19 14:48:42.493602
cust_00000120,43,F,Bronze,OK,Y,Y,2025-08-26 14:48:42.493602
cust_00000121,54,F,Premium,OK,Y,Y,2023-09-06 14:48:42.493602
cust_00000122,59,M,Silver,OK,N,N,2022-12-29 14:48:42.493602
cust_00000123,35,F,Basic,OK,N,N,2025-08-17 14:48:42.493602
cust_00000124,26,F,Bronze,OK,Y,N,2025-06-26 14:48:42.493602
cust_00000125,31,M,Gold,OK,Y,Y,2022-12-05 14:48:42.493602
cust_00000126,39,M,Basic,OK,Y,N,2022-11-18 14:48:42.493602
cust_00000127,54,M,Bronze,OK,Y,N,2025-07-30 14:48:42.493602
cust_00000128,57,F,Basic,OK,Y,Y,2023-10-28 14:48:42.493602
cust_00000129,18,F,Bronze,NG,Y,Y,2023-03-28 14:48:42.493602
cust_00000130,42,M,Bronze,OK,Y,Y,2023-02-07 14:48:42.493602
cust_00000131,38,M,Basic,OK,Y,Y,2023-02-11 14:48:42.493602
cust_00000132,31,F,Silver,NG,Y,N,2023-01-07 14:48:42.493602
cust_00000133,26,F,Bronze,NG,Y,Y,2023-04-30 14:48:42.493602
cust_00000134,35,F,Bronze,OK,Y,N,2023-02-13 14:48:42.493602
cust_00000135,64,M,Premium,NG,Y,Y,2025-01-26 14:48:42.493602
cust_00000136,35,F,Premium,OK,Y,Y,2024-02-13 14:48:42.493602
cust_00000137,42,M,Gold,OK,Y,Y,2023-10-02 14:48:42.493602
cust_00000138,49,F,Bronze,OK,Y,N,2022-09-26 14:48:42.493602
cust_00000139,36,M,Bronze,OK,Y,Y,2023-10-14 14:48:42.493602
cust_00000140,68,M,Bronze,NG,Y,N,2024-04-11 14:48:42.493602
cust_00000141,66,M,Premium,NG,Y,Y,2025-06-01 14:48:42.493602
cust_00000142,32,F,Bronze,NG,Y,N,2024-04-03 14:48:42.493602
cust_00000143,41,M,Basic,NG,Y,N,2023-09-21 14:48:42.493602
cust_00000144,34,M,Silver,OK,Y,N,2023-11-12 14:48:42.493602
cust_00000145,33,F,Bronze,OK,Y,Y,2022-10-12 14:48:42.493602
cust_00000146,21,M,Bronze,NG,Y,Y,2024-05-27 14:48:42.493602
cust_00000147,45,M,Bronze,NG,N,Y,2024-02-20 14:48:42.493602
cust_00000148,41,M,Bronze,NG,Y,N,2024-07-13 14:48:42.493602
cust_00000149,22,M,Basic,NG,Y,Y,2023-08-17 14:48:42.493602
cust_00000150,33,F,Silver,OK,N,Y,2023-10-04 14:48:42.493602
cust_00000151,60,F,Basic,NG,Y,Y,2023-02-28 14:48:42.493602
cust_00000152,32,F,Silver,NG,Y,Y,2024-07-10 14:48:42.493602
cust_00000153,27,M,Silver,NG,Y,N,2023-09-10 14:48:42.493602
cust_00000154,41,M,Gold,OK,Y,N,2022-12-09 14:48:42.493602
cust_00000155,72,M,Bronze,OK,Y,Y,2023-02-20 14:48:42.493602
cust_00000156,32,F,Silver,OK,Y,N,2024-02-20 14:48:42.493602
cust_00000157,47,F,Silver,OK,Y,N,2023-10-09 14:48:42.493602
cust_00000158,51,M,Silver,OK,Y,Y,2024-08-14 14:48:42.493602
cust_00000159,32,F,Basic,OK,Y,N,2023-09-08 14:48:42.493602
cust_00000160,50,F,Basic,OK,Y,N,2025-04-29 14:48:42.493602
cust_00000161,37,M,Bronze,OK,Y,Y,2023-02-01 14:48:42.493602
cust_00000162,46,F,Bronze,OK,N,N,2024-06-16 14:48:42.493602
cust_00000163,46,F,Bronze,OK,Y,Y,2023-03-09 14:48:42.493602
cust_00000164,42,F,Silver,OK,Y,Y,2025-02-03 14:48:42.493602
cust_00000165,24,F,Basic,OK,Y,N,2023-10-17 14:48:42.493602
cust_00000166,55,M,Gold,OK,Y,N,2024-12-19 14:48:42.493602
cust_00000167,35,F,Silver,OK,Y,N,2022-12-28 14:48:42.493602
cust_00000168,29,F,Silver,OK,Y,Y,2025-06-09 14:48:42.493602
cust_00000169,21,F,Bronze,OK,Y,N,2024-11-09 14:48:42.493602
cust_00000170,44,M,Bronze,NG,Y,Y,2023-08-27 14:48:42.493602
cust_00000171,48,F,Bronze,OK,N,Y,2023-01-31 14:48:42.493602
cust_00000172,19,M,Gold,OK,Y,Y,2023-04-19 14:48:42.493602
cust_00000173,42,F,Bronze,NG,Y,Y,2025-07-16 14:48:42.493602
cust_00000174,31,F,Silver,OK,Y,Y,2023-10-03 14:48:42.493602
cust_00000175,46,F,Gold,NG,Y,N,2024-06-22 14:48:42.493602
cust_00000176,29,M,Gold,NG,Y,N,2025-09-03 14:48:42.493602
cust_00000177,48,M,Bronze,OK,N,N,2023-12-06 14:48:42.493602
cust_00000178,37,F,Silver,OK,Y,N,2023-05-20 14:48:42.493602
cust_00000179,63,M,Bronze,OK,Y,Y,2024-02-04 14:48:42.493602
cust_00000180,27,M,Bronze,OK,Y,N,2022-10-14 14:48:42.493602
cust_00000181,36,F,Bronze,OK,N,N,2024-06-14 14:48:42.493602
cust_00000182,26,M,Bronze,OK,Y,Y,2025-07-04 14:48:42.493602
cust_00000183,62,F,Silver,NG,N,N,2023-03-15 14:48:42.493602
cust_00000184,58,M,Silver,OK,N,Y,2023-04-07 14:48:42.493602
cust_00000185,32,M,Bronze,OK,Y,Y,2022-12-29 14:48:42.493602
cust_00000186,47,M,Bronze,OK,Y,Y,2024-10-05 14:48:42.493602
cust_00000187,54,M,Basic,OK,Y,N,2023-12-18 14:48:42.493602
cust_00000188,43,F,Basic,OK,Y,N,2025-05-22 14:48:42.493602
cust_00000189,42,M,Gold,OK,Y,Y,2024-02-02 14:48:42.493602
cust_00000190,32,F,Gold,OK,Y,Y,2023-02-09 14:48:42.493602
cust_00000191,25,F,Bronze,NG,Y,N,2024-11-02 14:48:42.493602
cust_00000192,59,M,Silver,OK,Y,N,2023-03-15 14:48:42.493602
cust_00000193,60,M,Premium,OK,Y,Y,2023-11-15 14:48:42.493602
cust_00000194,46,M,Basic,OK,Y,Y,2024-07-28 14:48:42.493602
cust_00000195,35,F,Silver,OK,Y,N,2024-03-06 14:48:42.493602
cust_00000196,36,M,Basic,OK,Y,Y,2025-03-27 14:48:42.493602
cust_00000197,50,M,Bronze,NG,Y,Y,2023-09-17 14:48:42.493602
cust_00000198,59,F,Bronze,NG,Y,Y,2023-12-11 14:48:42.493602
cust_00000199,58,F,Silver,OK,Y,N,2024-03-30 14:48:42.493602
cust_00000200,52,F,Silver,OK,N,N,2024-08-29 14:48:42.493602
cust_00000201,46,F,Bronze,OK,Y,Y,2024-04-04 14:48:42.493602
cust_00000202,24,M,Gold,OK,Y,Y,2025-06-14 14:48:42.493602
cust_00000203,28,M,Silver,OK,Y,Y,2022-11-19 14:48:42.493602
cust_00000204,59,M,Silver,OK,Y,Y,2025-02-22 14:48:42.493602
cust_00000205,45,M,Gold,OK,N,Y,2025-05-15 14:48:42.493602
cust_00000206,18,F,Silver,OK,Y,Y,2025-04-23 14:48:42.493602
cust_00000207,25,M,Bronze,NG,Y,Y,2023-06-11 14:48:42.493602
cust_00000208,47,F,Gold,NG,Y,Y,2023-04-05 14:48:42.493602
cust_00000209,18,M,Premium,OK,Y,N,2023-09-10 14:48:42.493602
cust_00000210,28,F,Bronze,OK,Y,N,2025-02-23 14:48:42.493602
cust_00000211,43,M,Basic,NG,Y,Y,2025-04-19 14:48:42.493602
cust_00000212,48,F,Silver,OK,Y,Y,2025-03-24 14:48:42.493602
cust_00000213,47,F,Gold,NG,Y,Y,2022-11-07 14:48:42.493602
cust_00000214,31,M,Bronze,OK,Y,N,2024-10-13 14:48:42.493602
cust_00000215,49,F,Basic,OK,Y,Y,2023-05-09 14:48:42.493602
cust_00000216,32,M,Bronze,OK,Y,Y,2024-10-17 14:48:42.493602
cust_00000217,35,F,Bronze,NG,Y,N,2023-08-03 14:48:42.493602
cust_00000218,51,M,Silver,OK,Y,N,2024-10-22 14:48:42.493602
cust_00000219,47,F,Bronze,OK,Y,Y,2022-11-22 14:48:42.493602
cust_00000220,56,F,Gold,OK,N,Y,2023-05-17 14:48:42.493602
cust_00000221,47,F,Bronze,NG,Y,N,2022-12-08 14:48:42.493602
cust_00000222,44,F,Bronze,NG,N,N,2024-09-24 14:48:42.493602
cust_00000223,25,F,Basic,NG,Y,Y,2024-04-02 14:48:42.493602
cust_00000224,37,F,Silver,NG,Y,N,2025-04-22 14:48:42.493602
cust_00000225,33,F,Premium,OK,Y,Y,2024-07-02 14:48:42.493602
cust_00000226,32,F,Bronze,OK,Y,N,2025-08-04 14:48:42.493602
cust_00000227,68,M,Bronze,OK,Y,Y,2025-08-09 14:48:42.493602
cust_00000228,37,M,Bronze,OK,Y,N,2023-09-07 14:48:42.493602
cust_00000229,59,F,Gold,NG,Y,N,2025-03-22 14:48:42.493602
cust_00000230,46,M,Silver,NG,N,Y,2023-09-06 14:48:42.493602
cust_00000231,53,M,Bronze,OK,Y,N,2024-01-10 14:48:42.493602
cust_00000232,41,F,Silver,OK,Y,Y,2023-07-10 14:48:42.493602
cust_00000233,44,M,Basic,NG,Y,Y,2025-02-25 14:48:42.493602
cust_00000234,41,F,Bronze,OK,Y,Y,2024-01-02 14:48:42.493602
cust_00000235,30,F,Bronze,OK,Y,N,2023-07-24 14:48:42.493602
cust_00000236,50,F,Bronze,OK,Y,Y,2024-01-12 14:48:42.493602
cust_00000237,33,M,Bronze,OK,Y,N,2023-12-14 14:48:42.493602
cust_00000238,20,M,Silver,OK,N,N,2023-05-09 14:48:42.493602
cust_00000239,46,F,Basic,OK,Y,Y,2025-08-21 14:48:42.493602
cust_00000240,29,F,Silver,OK,Y,Y,2024-11-22 14:48:42.493602
cust_00000241,63,M,Bronze,NG,Y,N,2024-07-26 14:48:42.493602
cust_00000242,65,F,Silver,OK,Y,N,2024-12-23 14:48:42.493602
cust_00000243,61,F,Bronze,OK,N,Y,2025-01-04 14:48:42.493602
cust_00000244,37,M,Silver,NG,Y,Y,2025-08-01 14:48:42.493602
cust_00000245,19,M,Silver,OK,Y,Y,2023-09-03 14:48:42.493602
cust_00000246,62,M,Basic,OK,Y,Y,2022-10-01 14:48:42.493602
cust_00000247,39,M,Gold,NG,Y,Y,2022-12-17 14:48:42.493602
cust_00000248,67,M,Bronze,OK,Y,Y,2024-03-19 14:48:42.493602
cust_00000249,67,F,Basic,NG,Y,Y,2025-02-10 14:48:42.493602
cust_00000250,56,F,Premium,OK,Y,Y,2024-09-05 14:48:42.493602
cust_00000251,34,F,Bronze,OK,Y,N,2022-09-25 14:48:42.493602
cust_00000252,37,M,Silver,OK,Y,N,2025-08-03 14:48:42.493602
cust_00000253,56,M,Premium,OK,Y,Y,2025-03-10 14:48:42.493602
cust_00000254,35,F,Silver,NG,Y,N,2023-06-21 14:48:42.493602
cust_00000255,29,M,Basic,OK,Y,Y,2025-02-18 14:48:42.493602
cust_00000256,43,F,Premium,NG,Y,N,2025-04-14 14:48:42.493602
cust_00000257,63,F,Bronze,NG,Y,N,2022-09-23 14:48:42.493602
cust_00000258,48,M,Bronze,OK,N,N,2023-02-17 14:48:42.493602
cust_00000259,44,F,Basic,NG,Y,Y,2025-04-26 14:48:42.493602
cust_00000260,25,M,Gold,OK,Y,Y,2023-02-20 14:48:42.493602
cust_00000261,45,F,Bronze,OK,Y,Y,2023-07-24 14:48:42.493602
cust_00000262,73,M,Bronze,NG,N,Y,2025-02-19 14:48:42.493602
cust_00000263,27,M,Bronze,OK,Y,Y,2024-01-09 14:48:42.493602
cust_00000264,42,F,Basic,OK,N,Y,2024-12-06 14:48:42.493602
cust_00000265,58,M,Basic,OK,Y,N,2025-09-20 14:48:42.493602
cust_00000266,50,F,Premium,OK,Y,Y,2022-10-24 14:48:42.493602
cust_00000267,48,F,Bronze,OK,Y,Y,2024-11-07 14:48:42.493602
cust_00000268,49,F,Silver,OK,Y,Y,2024-11-24 14:48:42.493602
cust_00000269,36,M,Silver,OK,Y,Y,2023-09-23 14:48:42.493602
cust_00000270,34,F,Bronze,OK,Y,N,2023-06-10 14:48:42.493602
cust_00000271,54,F,Silver,OK,Y,Y,2024-06-28 14:48:42.493602
cust_00000272,54,F,Silver,OK,Y,Y,2024-03-12 14:48:42.493602
cust_00000273,57,F,Basic,OK,Y,Y,2025-08-23 14:48:42.493602
cust_00000274,61,M,Gold,NG,N,N,2022-10-07 14:48:42.493602
cust_00000275,42,F,Basic,OK,Y,Y,2023-01-04 14:48:42.493602
cust_00000276,41,F,Bronze,OK,Y,N,2024-11-20 14:48:42.493602
cust_00000277,53,F,Bronze,OK,Y,Y,2024-09-10 14:48:42.493602
cust_00000278,47,F,Basic,OK,Y,N,2025-09-08 14:48:42.493602
cust_00000279,49,M,Silver,OK,Y,Y,2025-06-26 14:48:42.493602
cust_00000280,53,F,Silver,NG,Y,Y,2022-11-08 14:48:42.493602
cust_00000281,59,M,Silver,NG,Y,Y,2024-07-12 14:48:42.493602
cust_00000282,35,F,Silver,NG,N,Y,2024-11-30 14:48:42.493602
cust_00000283,37,F,Basic,NG,Y,Y,2023-01-13 14:48:42.493602
cust_00000284,25,M,Basic,OK,Y,Y,2023-07-14 14:48:42.493602
cust_00000285,44,F,Gold,OK,Y,Y,2023-12-03 14:48:42.493602
cust_00000286,21,M,Gold,NG,N,Y,2023-06-14 14:48:42.493602
cust_00000287,40,M,Silver,OK,N,N,2023-03-02 14:48:42.493602
cust_00000288,43,F,Gold,NG,Y,N,2024-02-07 14:48:42.493602
cust_00000289,34,F,Bronze,NG,Y,Y,2025-08-16 14:48:42.493602
cust_00000290,44,M,Gold,NG,Y,Y,2024-04-30 14:48:42.493602
cust_00000291,20,F,Bronze,OK,Y,Y,2023-12-23 14:48:42.493602
cust_00000292,21,F,Premium,NG,Y,Y,2025-06-23 14:48:42.493602
cust_00000293,54,F,Silver,OK,Y,N,2023-06-20 14:48:42.493602
cust_00000294,36,F,Bronze,OK,N,N,2024-01-14 14:48:42.493602
cust_00000295,27,M,Bronze,OK,Y,Y,2025-05-05 14:48:42.493602
cust_00000296,42,F,Basic,NG,Y,Y,2023-02-27 14:48:42.493602
cust_00000297,52,F,Basic,NG,Y,N,2024-10-15 14:48:42.493602
cust_00000298,31,M,Silver,OK,Y,Y,2023-04-13 14:48:42.493602
cust_00000299,46,F,Premium,OK,N,Y,2024-11-24 14:48:42.493602
cust_00000300,24,F,Basic,OK,Y,N,2024-02-15 14:48:42.493602
cust_00000301,22,M,Basic,NG,Y,Y,2023-01-15 14:48:42.493602
cust_00000302,42,F,Basic,OK,Y,Y,2023-10-18 14:48:42.493602
cust_00000303,43,M,Gold,OK,Y,N,2024-08-09 14:48:42.493602
cust_00000304,46,M,Basic,OK,Y,Y,2025-04-08 14:48:42.493602
cust_00000305,50,F,Silver,OK,Y,N,2024-09-16 14:48:42.493602
cust_00000306,69,M,Bronze,OK,Y,Y,2023-09-25 14:48:42.493602
cust_00000307,42,F,Basic,OK,Y,N,2024-04-12 14:48:42.493602
cust_00000308,35,F,Silver,NG,Y,N,2025-03-10 14:48:42.493602
cust_00000309,53,M,Basic,NG,Y,Y,2024-10-01 14:48:42.493602
cust_00000310,33,M,Silver,OK,Y,N,2023-08-14 14:48:42.493602
cust_00000311,39,F,Basic,NG,Y,N,2022-10-28 14:48:42.493602
cust_00000312,24,M,Silver,OK,Y,Y,2025-06-03 14:48:42.493602
cust_00000313,20,M,Basic,OK,Y,N,2023-10-06 14:48:42.493602
cust_00000314,66,M,Gold,OK,N,N,2024-11-25 14:48:42.493602
cust_00000315,55,F,Bronze,OK,Y,Y,2023-09-25 14:48:42.493602
cust_00000316,48,F,Bronze,NG,Y,Y,2023-05-03 14:48:42.493602
cust_00000317,38,F,Bronze,OK,Y,Y,2024-12-13 14:48:42.493602
cust_00000318,29,M,Silver,OK,Y,Y,2024-09-14 14:48:42.493602
cust_00000319,28,F,Bronze,NG,Y,Y,2024-08-24 14:48:42.493602
cust_00000320,32,M,Gold,OK,N,Y,2022-11-23 14:48:42.493602
cust_00000321,43,F,Bronze,NG,Y,Y,2022-12-29 14:48:42.493602
cust_00000322,49,F,Silver,NG,Y,Y,2024-11-06 14:48:42.493602
cust_00000323,47,F,Basic,OK,Y,Y,2022-12-05 14:48:42.493602
cust_00000324,33,M,Premium,NG,N,Y,2023-03-24 14:48:42.493602
cust_00000325,65,F,Gold,OK,Y,Y,2025-09-06 14:48:42.493602
cust_00000326,50,M,Silver,OK,Y,N,2024-01-03 14:48:42.493602
cust_00000327,43,F,Silver,OK,Y,Y,2023-02-08 14:48:42.493602
cust_00000328,45,F,Silver,OK,Y,Y,2023-09-15 14:48:42.493602
cust_00000329,38,F,Bronze,NG,Y,Y,2025-05-28 14:48:42.493602
cust_00000330,32,F,Basic,OK,Y,Y,2023-07-18 14:48:42.493602
cust_00000331,36,F,Bronze,OK,Y,Y,2023-11-21 14:48:42.493602
cust_00000332,51,F,Bronze,NG,Y,N,2025-06-12 14:48:42.493602
cust_00000333,19,F,Gold,OK,Y,Y,2023-03-01 14:48:42.493602
cust_00000334,26,F,Bronze,OK,Y,N,2023-10-27 14:48:42.493602
cust_00000335,22,M,Gold,OK,Y,Y,2024-10-01 14:48:42.493602
cust_00000336,21,M,Bronze,NG,Y,Y,2025-01-30 14:48:42.493602
cust_00000337,56,F,Silver,OK,Y,N,2024-01-28 14:48:42.493602
cust_00000338,49,M,Silver,OK,Y,N,2024-01-23 14:48:42.493602
cust_00000339,40,M,Silver,OK,Y,N,2024-02-29 14:48:42.493602
cust_00000340,25,F,Basic,OK,N,N,2024-09-27 14:48:42.493602
cust_00000341,41,M,Gold,NG,N,Y,2023-09-14 14:48:42.493602
cust_00000342,40,M,Bronze,OK,Y,N,2024-04-08 14:48:42.493602
cust_00000343,29,F,Gold,OK,Y,Y,2025-07-17 14:48:42.493602
cust_00000344,39,F,Bronze,OK,Y,N,2022-12-20 14:48:42.493602
cust_00000345,38,M,Basic,NG,N,Y,2022-11-24 14:48:42.493602
cust_00000346,45,M,Silver,NG,Y,Y,2025-08-13 14:48:42.493602
cust_00000347,46,F,Bronze,OK,Y,N,2023-06-01 14:48:42.493602
cust_00000348,22,F,Basic,OK,Y,Y,2023-01-06 14:48:42.493602
cust_00000349,37,F,Bronze,OK,N,Y,2025-04-08 14:48:42.493602
