hash_id,Recency,Frequency,Monetary,AOV,AOV_Std,Avg_Discount,Avg_Items
cust_00000041,36,3,1124.66,374.89,537.0,47.98,2.33
cust_00000042,4,11,13176.86,1197.9,904.82,101.07,3.0
cust_00000043,3,8,6498.72,812.34,557.98,93.63,2.38
cust_00000044,179,2,3633.47,1816.74,2369.73,190.62,1.5
cust_00000045,140,4,702.38,175.6,28.28,23.03,2.75
cust_00000046,139,4,1225.18,306.3,321.78,14.7,1.5
cust_00000047,19,4,1963.07,490.77,486.0,30.39,1.0
cust_00000048,1,18,35070.71,1948.37,1304.75,160.52,1.89
cust_00000049,43,4,2756.8,689.2,559.82,48.8,1.75
cust_00000050,325,1,493.73,493.73,0.0,49.38,1.0
cust_00000051,154,2,799.3,399.65,502.64,17.4,1.0
cust_00000052,8,4,1637.61,409.4,263.52,46.87,1.75
cust_00000053,149,1,213.59,213.59,0.0,36.54,2.0
cust_00000054,1,6,3028.68,504.78,311.9,65.81,2.5
cust_00000055,189,4,1713.28,428.32,233.85,49.01,2.0
cust_00000056,44,3,2327.33,775.78,366.96,99.28,2.0
cust_00000057,101,6,3914.6,652.43,498.26,77.13,2.0
cust_00000058,136,2,500.49,250.24,143.3,20.62,1.0
cust_00000059,78,2,264.58,132.29,98.32,4.66,2.5
cust_00000060,9,6,5613.48,935.58,1577.21,118.0,2.33
cust_00000061,108,4,1782.76,445.69,256.89,67.69,3.0
cust_00000062,24,21,46488.99,2213.76,1554.31,206.53,1.95
cust_00000063,49,2,72.94,36.47,25.64,3.97,1.0
cust_00000064,60,8,4943.96,617.99,501.67,36.94,2.0
cust_00000065,5,9,7838.74,870.97,975.94,75.4,1.67
cust_00000066,104,2,164.23,82.12,38.88,8.83,1.5
cust_00000067,84,4,2064.58,516.14,365.25,57.5,2.0
cust_00000068,97,2,9700.29,4850.14,4490.84,845.84,1.0
cust_00000069,232,3,421.83,140.61,13.7,15.81,1.67
cust_00000070,120,3,1531.7,510.57,555.44,36.08,2.33
cust_00000071,17,1,34.18,34.18,0.0,3.28,1.0
cust_00000072,61,3,2311.11,770.37,646.15,73.91,2.67
cust_00000073,102,4,1101.26,275.32,157.72,41.58,2.5
cust_00000074,98,4,873.21,218.3,77.88,26.75,4.0
cust_00000075,68,2,169.21,84.6,54.13,6.92,3.5
cust_00000076,29,8,9672.63,1209.08,1329.32,95.52,1.88
cust_00000077,27,7,4907.61,701.09,981.31,83.51,2.14
cust_00000078,29,8,7665.98,958.25,531.31,101.09,2.5
cust_00000079,70,15,13157.39,877.16,681.02,111.42,2.0
cust_00000080,40,2,1230.42,615.21,27.96,30.1,1.5
cust_00000081,176,2,3390.61,1695.3,2197.12,47.72,2.0
cust_00000082,25,3,3416.32,1138.77,1020.3,201.89,1.67
cust_00000083,88,3,1324.03,441.34,423.63,68.89,1.67
cust_00000084,1,2,579.89,289.95,5.44,21.42,2.0
cust_00000085,7,20,40683.06,2034.15,2887.19,231.69,1.9
cust_00000086,22,4,1246.54,311.64,282.47,23.19,2.5
cust_00000087,59,4,2281.35,570.34,715.06,85.28,2.25
cust_00000088,59,4,2066.8,516.7,303.87,65.94,1.5
cust_00000089,115,3,790.21,263.4,255.0,32.25,2.0
cust_00000090,83,7,6858.98,979.85,854.14,144.23,1.43
cust_00000091,12,8,3311.62,413.95,306.32,29.38,2.5
cust_00000092,31,11,23017.4,2092.49,1935.89,270.35,2.0
cust_00000093,44,5,4285.34,857.07,671.07,115.22,1.4
cust_00000094,122,3,1173.99,391.33,475.28,24.75,2.33
cust_00000095,37,3,540.47,180.16,80.72,23.76,2.0
cust_00000096,40,4,911.71,227.93,187.7,17.35,2.25
cust_00000097,31,2,749.17,374.58,152.42,31.17,2.0
cust_00000098,64,2,290.22,145.11,136.34,15.72,2.5
cust_00000099,11,4,1198.08,299.52,200.4,35.76,1.75
cust_00000100,3,12,13655.12,1137.93,1390.88,101.65,1.75
cust_00000101,111,2,886.21,443.1,30.74,38.94,2.0
cust_00000102,37,4,1336.87,334.22,271.46,39.42,1.75
cust_00000103,154,1,366.48,366.48,0.0,67.24,4.0
cust_00000104,8,5,1751.68,350.34,403.02,30.74,2.2
cust_00000105,133,3,712.72,237.57,176.29,27.36,2.0
cust_00000106,128,5,2262.35,452.47,489.13,35.75,1.2
cust_00000107,38,8,9036.02,1129.5,688.73,75.02,1.38
cust_00000108,166,2,1045.42,522.71,635.0,21.33,1.0
cust_00000109,29,5,2377.04,475.41,210.76,65.42,3.4
cust_00000110,6,8,6436.24,804.53,841.72,81.65,2.12
cust_00000111,1,6,3875.93,645.99,799.84,84.21,2.33
cust_00000112,11,21,47324.5,2253.55,1340.06,183.62,2.14
cust_00000113,104,2,745.95,372.98,118.05,40.21,1.5
cust_00000114,3,3,1296.16,432.05,436.59,67.86,2.67
cust_00000115,29,8,9117.52,1139.69,1046.49,150.47,2.12
cust_00000116,13,11,16851.47,1531.95,1481.95,122.83,1.45
cust_00000117,81,9,10709.06,1189.9,924.47,118.97,2.89
cust_00000118,236,3,2763.04,921.01,1205.55,159.62,2.0
cust_00000119,13,8,6766.8,845.85,619.89,59.3,2.12
cust_00000120,156,2,883.92,441.96,273.16,54.86,1.5
cust_00000121,9,21,48355.65,2302.65,2160.84,205.91,2.43
cust_00000122,105,4,3490.68,872.67,652.94,86.82,1.5
cust_00000123,120,1,67.37,67.37,0.0,6.91,3.0
cust_00000124,2,4,1070.64,267.66,297.78,29.26,1.25
cust_00000125,5,12,15061.19,1255.1,1408.23,97.7,2.33
cust_00000126,165,3,597.82,199.27,147.26,20.37,2.33
cust_00000127,17,3,3729.06,1243.02,1082.58,92.13,1.67
cust_00000128,290,1,194.84,194.84,0.0,15.66,2.0
cust_00000129,31,4,1028.35,257.09,218.9,35.84,1.25
cust_00000130,156,2,502.71,251.36,331.33,40.94,1.0
cust_00000131,183,1,280.65,280.65,0.0,17.4,4.0
cust_00000132,2,5,8192.58,1638.52,2920.79,213.04,1.6
cust_00000133,81,2,270.61,135.3,34.77,2.74,2.0
cust_00000134,58,2,948.37,474.18,158.33,57.1,3.0
cust_00000135,10,20,44043.27,2202.16,1367.83,216.4,1.75
cust_00000136,14,25,76615.77,3064.63,2501.1,308.03,1.8
cust_00000137,5,11,9573.74,870.34,357.21,91.57,2.91
cust_00000138,181,2,511.29,255.64,286.29,18.52,2.5
cust_00000139,190,2,231.36,115.68,109.84,8.46,4.0
cust_00000140,96,2,1271.14,635.57,799.55,9.26,3.0
cust_00000141,7,18,29640.56,1646.7,1151.31,133.98,1.72
cust_00000142,63,4,1931.05,482.76,253.19,42.72,3.0
cust_00000143,36,2,244.71,122.36,57.61,4.17,1.5
cust_00000144,17,4,972.78,243.2,141.7,24.8,2.5
cust_00000145,20,4,4919.06,1229.77,1087.01,44.44,2.5
cust_00000146,88,2,2635.9,1317.95,1741.26,56.37,4.0
cust_00000147,221,3,754.84,251.61,150.22,30.19,2.33
cust_00000148,186,2,223.72,111.86,42.71,3.9,2.0
cust_00000149,310,1,109.75,109.75,0.0,11.95,1.0
cust_00000150,100,5,2074.53,414.91,151.32,38.55,3.4
cust_00000151,66,3,170.96,56.99,14.05,8.77,1.67
cust_00000152,21,7,2898.82,414.12,307.13,54.38,2.0
cust_00000153,53,5,16846.57,3369.31,4867.81,298.86,2.0
cust_00000154,49,11,8727.38,793.4,459.13,72.88,2.73
cust_00000155,61,2,2179.9,1089.95,1315.7,146.47,1.0
cust_00000156,84,5,2267.65,453.53,557.25,31.43,3.0
cust_00000157,36,4,2415.23,603.81,563.73,81.39,2.25
cust_00000158,89,4,2452.07,613.02,706.88,11.96,2.25
cust_00000159,63,1,1456.33,1456.33,0.0,172.85,4.0
cust_00000160,113,2,135.38,67.69,19.32,5.28,2.0
cust_00000161,186,2,688.27,344.14,236.69,22.69,3.5
cust_00000162,45,3,839.42,279.81,242.62,27.0,1.67
cust_00000163,213,4,3421.05,855.26,1254.62,84.48,1.75
cust_00000164,240,6,7286.21,1214.37,865.32,83.19,1.67
cust_00000165,270,1,1053.25,1053.25,0.0,197.9,2.0
cust_00000166,20,14,16939.54,1209.97,1098.11,100.51,2.29
cust_00000167,89,8,4735.82,591.98,718.03,89.64,2.62
cust_00000168,77,7,4518.24,645.46,717.18,88.34,1.57
cust_00000169,3,4,5819.86,1454.96,831.66,180.02,1.5
cust_00000170,1,3,1655.91,551.97,747.54,41.17,3.0
cust_00000171,151,2,539.7,269.85,163.57,15.01,3.0
cust_00000172,25,12,11697.27,974.77,844.26,138.46,2.25
cust_00000173,95,2,466.02,233.01,117.86,11.02,1.5
cust_00000174,92,4,1264.69,316.17,115.01,40.95,1.75
cust_00000175,19,12,10608.76,884.06,723.64,90.0,2.42
cust_00000176,38,13,10201.1,784.7,338.99,67.52,1.85
cust_00000177,19,3,1664.53,554.84,564.63,104.83,3.0
cust_00000178,17,7,6751.64,964.52,1208.7,128.57,1.71
cust_00000179,31,3,5160.11,1720.04,1208.58,171.89,2.0
cust_00000180,52,3,1160.14,386.71,467.78,53.37,3.33
cust_00000181,86,2,615.08,307.54,345.87,43.3,2.0
cust_00000182,23,4,4610.09,1152.52,1733.27,177.04,2.25
cust_00000183,1,5,4436.63,887.33,963.76,133.05,2.4
cust_00000184,71,5,4903.16,980.63,888.34,102.91,1.6
cust_00000185,8,4,2853.82,713.46,726.35,48.96,2.5
cust_00000186,71,3,509.23,169.74,113.95,14.86,1.67
cust_00000187,271,2,293.29,146.64,16.16,9.97,3.0
cust_00000188,11,2,1547.22,773.61,822.46,132.46,1.0
cust_00000189,51,10,6407.01,640.7,258.43,60.99,2.1
cust_00000190,24,9,11283.67,1253.74,935.35,187.97,2.22
cust_00000191,3,2,490.78,245.39,73.92,6.66,1.0
cust_00000192,41,6,1725.84,287.64,174.8,27.28,1.83
cust_00000193,25,21,58008.37,2762.3,3258.61,250.17,2.29
cust_00000194,43,2,669.32,334.66,157.7,27.53,1.5
cust_00000195,103,6,2021.88,336.98,155.22,29.25,2.33
cust_00000196,178,3,279.88,93.29,79.13,7.22,1.67
cust_00000197,78,3,1456.25,485.42,73.38,15.85,2.33
cust_00000198,86,3,1234.82,411.61,554.33,56.95,1.0
cust_00000199,27,5,7881.71,1576.34,1722.0,92.01,2.4
cust_00000200,34,8,5849.55,731.19,975.5,82.34,2.12
cust_00000201,141,3,1471.97,490.66,186.88,57.39,2.33
cust_00000202,12,14,16715.8,1193.99,1768.44,136.88,2.29
cust_00000203,16,8,16523.94,2065.49,2926.29,251.94,2.25
cust_00000204,5,4,2288.18,572.04,297.78,51.06,1.75
cust_00000205,19,11,17686.0,1607.82,2059.31,146.31,1.82
cust_00000206,59,7,10132.33,1447.48,1800.62,92.16,2.57
cust_00000207,61,3,2356.64,785.55,677.95,15.25,3.33
cust_00000208,30,14,11909.54,850.68,496.87,90.55,2.5
cust_00000209,3,19,45665.16,2403.43,2240.23,282.96,2.68
cust_00000210,151,4,11531.65,2882.91,2611.53,471.42,2.0
cust_00000211,191,2,473.01,236.5,81.35,17.57,1.5
cust_00000212,54,8,7983.08,997.88,1432.22,157.6,2.12
cust_00000213,30,14,19646.72,1403.34,1078.04,186.19,2.07
cust_00000214,143,3,3085.72,1028.57,1449.1,122.74,1.33
cust_00000215,84,2,334.34,167.17,43.43,19.86,2.5
cust_00000216,46,2,439.68,219.84,5.59,34.07,2.0
cust_00000217,192,2,703.42,351.71,230.66,29.7,1.0
cust_00000218,70,8,14235.96,1779.5,3788.02,215.91,2.88
cust_00000219,31,4,1874.29,468.57,573.39,28.8,1.0
cust_00000220,14,14,21870.41,1562.17,1029.94,124.9,1.79
cust_00000221,76,2,532.39,266.2,66.7,24.94,2.5
cust_00000222,11,2,759.31,379.66,113.94,18.1,2.5
cust_00000223,51,1,31.46,31.46,0.0,2.33,3.0
cust_00000224,30,8,6349.67,793.71,686.05,83.81,2.0
cust_00000225,15,25,71628.96,2865.16,1997.56,249.16,1.8
cust_00000226,9,4,3333.16,833.29,898.06,54.8,1.25
cust_00000227,29,3,535.92,178.64,68.25,18.54,1.67
cust_00000228,46,2,537.99,269.0,26.78,41.7,2.0
cust_00000229,38,15,31116.61,2074.44,1457.13,206.03,2.07
cust_00000230,8,4,3478.41,869.6,322.96,131.54,1.5
cust_00000231,175,3,675.48,225.16,84.23,21.25,1.67
cust_00000232,30,6,4460.87,743.48,450.58,73.08,2.17
cust_00000233,36,3,2137.5,712.5,1128.53,134.87,3.0
cust_00000234,25,4,3295.37,823.84,524.16,91.41,2.0
cust_00000235,12,4,1835.01,458.75,713.02,21.4,1.5
cust_00000236,82,3,1342.72,447.57,289.98,45.86,2.0
cust_00000237,236,2,20715.17,10357.58,13555.34,1827.74,2.5
cust_00000238,69,8,7420.54,927.57,1147.26,73.14,2.25
cust_00000239,305,1,270.84,270.84,0.0,39.79,4.0
cust_00000240,44,8,5856.01,732.0,455.1,106.66,1.62
cust_00000241,91,4,2517.96,629.49,766.18,63.91,1.75
cust_00000242,48,7,2662.95,380.42,255.74,46.11,2.43
cust_00000243,70,2,1361.86,680.93,483.68,130.2,1.5
cust_00000244,116,4,2719.06,679.76,307.23,89.03,1.75
cust_00000245,4,8,4943.4,617.92,233.6,70.34,2.75
cust_00000246,203,1,654.43,654.43,0.0,68.51,3.0
cust_00000247,5,14,17224.82,1230.34,1088.72,113.39,2.64
cust_00000248,79,2,246.66,123.33,90.21,3.94,1.5
cust_00000249,138,1,415.79,415.79,0.0,23.87,3.0
cust_00000250,1,25,77362.24,3094.49,2317.09,272.35,2.0
cust_00000251,37,3,1606.86,535.62,458.41,61.3,3.0
cust_00000252,46,8,3529.65,441.21,394.61,58.23,1.38
cust_00000253,17,17,35523.48,2089.62,1537.48,223.86,2.41
cust_00000254,11,4,5485.99,1371.5,958.35,113.44,1.75
cust_00000255,1,2,301.74,150.87,117.04,23.47,1.5
cust_00000256,6,20,41315.03,2065.75,1372.41,226.59,1.95
cust_00000257,106,4,1129.17,282.29,252.08,31.67,2.25
cust_00000258,108,3,1271.13,423.71,460.09,59.55,3.67
cust_00000259,61,1,1011.95,1011.95,0.0,176.59,2.0
cust_00000260,2,8,6120.46,765.06,439.29,82.07,1.75
cust_00000261,128,3,4259.15,1419.72,1884.79,243.53,3.0
cust_00000262,30,2,923.11,461.56,440.79,34.11,3.0
cust_00000263,9,3,858.14,286.05,288.94,11.49,2.33
cust_00000264,25,3,2507.65,835.88,1100.05,90.25,3.67
cust_00000265,26,3,1199.35,399.78,310.52,38.28,2.67
cust_00000266,6,22,60096.84,2731.67,2781.01,197.36,1.86
cust_00000267,83,2,735.82,367.91,393.08,52.92,1.5
cust_00000268,41,4,2947.58,736.9,742.21,98.96,2.5
cust_00000269,77,4,1141.02,285.26,157.45,29.76,2.25
cust_00000270,36,4,1364.68,341.17,186.26,25.47,2.0
cust_00000271,63,6,2511.33,418.56,393.26,45.84,2.5
cust_00000272,148,4,4978.11,1244.53,1812.61,28.29,1.25
cust_00000273,118,3,398.13,132.71,99.4,17.92,2.33
cust_00000274,56,9,10117.9,1124.21,1093.32,133.48,1.67
cust_00000275,217,1,1328.64,1328.64,0.0,24.87,5.0
cust_00000276,22,3,961.02,320.34,189.69,46.49,2.0
cust_00000277,194,2,395.19,197.6,4.46,22.24,1.5
cust_00000278,30,2,223.61,111.8,50.79,8.27,1.0
cust_00000279,32,6,8758.69,1459.78,1763.79,209.52,3.5
cust_00000280,121,5,4396.54,879.31,770.91,77.93,2.0
cust_00000281,35,5,1856.93,371.39,232.39,34.02,2.0
cust_00000282,90,8,9450.93,1181.37,1815.43,178.25,2.25
cust_00000283,212,2,917.84,458.92,533.75,19.16,2.0
cust_00000284,58,3,1743.64,581.21,453.6,66.89,3.0
cust_00000285,61,13,12369.41,951.49,862.13,71.27,2.23
cust_00000286,1,14,18809.51,1343.54,1502.55,133.08,1.86
cust_00000287,145,6,4393.99,732.33,621.41,56.6,1.33
cust_00000288,97,10,12952.66,1295.27,1033.84,69.77,1.9
cust_00000289,98,2,2994.29,1497.14,1804.52,83.54,2.0
cust_00000290,48,11,11369.47,1033.59,1240.01,91.5,2.73
cust_00000291,36,2,6944.2,3472.1,4789.52,36.25,3.0
cust_00000292,11,20,68248.7,3412.44,4906.82,269.63,2.3
cust_00000293,23,7,6921.04,988.72,666.26,77.69,2.29
cust_00000294,18,3,1224.21,408.07,258.43,58.54,1.33
cust_00000295,117,3,3134.87,1044.96,884.08,51.64,2.33
cust_00000296,202,1,24.16,24.16,0.0,1.23,2.0
cust_00000297,246,3,3314.62,1104.87,1571.7,178.24,1.67
cust_00000298,26,5,3227.72,645.54,659.97,83.06,2.8
cust_00000299,29,16,63455.37,3965.96,3191.42,291.32,2.06
cust_00000300,283,1,24.18,24.18,0.0,3.6,3.0
cust_00000301,197,1,777.2,777.2,0.0,12.28,2.0
cust_00000302,122,2,782.24,391.12,529.82,64.2,1.0
cust_00000303,2,15,17132.18,1142.15,884.17,136.27,2.47
cust_00000304,76,2,1643.22,821.61,399.46,110.89,1.5
cust_00000305,59,6,7115.0,1185.83,885.11,167.24,2.33
cust_00000306,117,2,754.31,377.16,139.87,32.72,1.5
cust_00000307,218,2,763.89,381.95,236.55,72.48,2.5
cust_00000308,56,7,4643.58,663.37,511.69,69.22,2.43
cust_00000309,51,2,470.92,235.46,119.57,32.64,2.5
cust_00000310,103,4,3180.44,795.11,361.5,61.68,2.0
cust_00000311,70,1,233.44,233.44,0.0,0.54,1.0
cust_00000312,41,5,4270.99,854.2,607.52,100.54,2.0
cust_00000313,77,3,387.8,129.27,120.04,19.95,3.67
cust_00000314,1,13,22940.86,1764.68,1242.64,181.2,1.77
cust_00000315,13,4,4654.65,1163.66,1256.81,31.8,2.25
cust_00000316,92,2,1144.96,572.48,660.27,93.02,1.5
cust_00000317,82,3,1682.52,560.84,516.46,45.91,2.33
cust_00000318,125,7,9563.07,1366.15,2357.96,114.74,1.71
cust_00000319,258,2,4160.3,2080.15,2301.66,132.93,1.5
cust_00000320,29,8,5854.01,731.75,514.46,81.03,2.38
cust_00000321,222,4,1767.0,441.75,70.39,53.08,2.25
cust_00000322,45,4,3495.39,873.85,539.05,71.83,3.0
cust_00000323,261,3,667.78,222.59,145.94,31.13,1.67
cust_00000324,24,18,30240.19,1680.01,969.93,156.42,1.94
cust_00000325,1,10,10758.14,1075.81,771.84,148.6,1.9
cust_00000326,65,4,6232.59,1558.15,2039.92,48.5,2.0
cust_00000327,69,4,4572.62,1143.16,543.43,111.3,2.75
cust_00000328,91,7,2310.89,330.13,144.37,35.99,1.57
cust_00000329,13,2,2167.71,1083.86,139.83,96.56,3.0
cust_00000330,173,1,110.51,110.51,0.0,0.5,1.0
cust_00000331,41,2,1752.93,876.46,99.89,78.1,3.0
cust_00000332,65,4,1636.74,409.18,327.29,49.14,2.0
cust_00000333,38,8,9136.05,1142.01,1309.1,67.44,2.12
cust_00000334,82,4,1545.25,386.31,400.89,23.92,1.5
cust_00000335,46,15,22887.87,1525.86,1134.71,157.32,1.73
cust_00000336,53,3,737.28,245.76,289.09,19.7,1.33
cust_00000337,91,5,2889.6,577.92,539.9,63.61,1.8
cust_00000338,8,5,5018.54,1003.71,510.45,114.99,1.8
cust_00000339,20,4,3235.51,808.88,1001.53,33.74,1.25
cust_00000340,49,2,540.16,270.08,18.43,12.68,1.0
cust_00000341,16,14,40241.69,2874.41,4419.18,185.5,2.21
cust_00000342,25,3,1501.8,500.6,243.97,34.8,1.33
cust_00000343,10,11,8505.27,773.21,695.4,109.97,2.0
cust_00000344,5,2,2494.51,1247.25,1721.4,24.05,1.5
cust_00000345,361,1,64.25,64.25,0.0,10.13,1.0
cust_00000346,6,4,1964.67,491.17,257.18,48.48,4.0
cust_00000347,5,3,1104.69,368.23,197.24,10.52,3.0
cust_00000348,57,2,397.52,198.76,3.99,5.13,2.0
cust_00000349,44,4,2571.81,642.95,447.19,67.77,2.0
cust_00000350,80,4,5605.72,1401.43,1344.67,173.99,2.75
cust_00000351,94,4,2117.81,529.45,512.97,33.4,1.75
cust_00000352,235,3,1761.3,587.1,788.84,28.28,1.33
cust_00000353,15,8,8709.32,1088.66,644.65,127.25,2.75
cust_00000354,105,3,1174.26,391.42,293.0,22.95,2.0
cust_00000355,6,5,2413.35,482.67,241.55,37.29,2.0
cust_00000356,15,13,27510.61,2116.2,2540.65,255.27,2.15
cust_00000357,143,3,1425.77,475.26,473.18,32.33,3.0
cust_00000358,38,7,5455.88,779.41,1041.12,47.33,2.57
cust_00000359,54,13,16952.09,1304.01,1508.49,157.33,1.85
cust_00000360,8,3,2205.83,735.28,791.03,31.53,3.33
cust_00000361,244,1,49.87,49.87,0.0,2.27,3.0
cust_00000362,51,2,655.19,327.6,191.24,29.68,3.0
cust_00000363,239,2,456.51,228.26,276.88,16.7,1.5
cust_00000364,18,2,154.31,77.16,7.57,10.42,2.0
cust_00000365,9,20,66591.07,3329.55,3467.1,278.14,1.85
cust_00000366,82,4,2355.68,588.92,746.47,66.39,1.5
cust_00000367,112,2,1247.46,623.73,336.0,74.54,1.0
cust_00000368,18,8,4676.69,584.59,439.75,49.94,2.88
cust_00000369,98,3,908.14,302.71,315.9,29.79,3.67
cust_00000370,80,3,872.42,290.81,369.85,30.34,2.67
cust_00000371,68,4,980.68,245.17,95.8,25.51,2.25
cust_00000372,27,2,788.76,394.38,99.49,14.6,1.0
cust_00000373,146,2,1524.46,762.23,266.11,112.8,1.0
cust_00000374,234,3,2460.6,820.2,579.01,84.67,3.33
cust_00000375,172,2,683.39,341.7,308.21,12.23,2.0
cust_00000376,30,3,2624.83,874.94,161.67,54.22,3.0
cust_00000377,111,8,14280.16,1785.02,2013.47,105.23,2.75
cust_00000378,53,4,1556.11,389.03,252.3,20.93,2.25
cust_00000379,333,1,166.42,166.42,0.0,23.24,4.0
cust_00000380,168,3,555.04,185.01,47.21,21.23,2.0
cust_00000381,171,2,813.56,406.78,119.83,48.55,4.5
cust_00000382,253,2,1322.15,661.08,348.55,115.66,4.0
cust_00000383,1,8,4443.31,555.41,388.93,68.16,2.12
cust_00000384,20,1,334.29,334.29,0.0,37.39,4.0
cust_00000385,13,3,1393.7,464.57,569.0,59.32,2.67
cust_00000386,27,8,10288.25,1286.03,967.91,136.31,1.75
cust_00000387,6,15,21726.89,1448.46,1242.06,137.17,2.0
cust_00000388,78,2,376.89,188.44,107.3,26.08,2.0
cust_00000389,55,1,28.04,28.04,0.0,1.93,1.0
cust_00000390,31,2,560.42,280.21,90.09,34.3,1.0
cust_00000391,5,2,90.11,45.06,12.45,3.68,2.5
cust_00000392,78,4,830.63,207.66,125.25,32.42,2.75
cust_00000393,53,3,1375.3,458.43,599.96,81.51,2.33
cust_00000394,99,2,2239.32,1119.66,1535.13,142.69,2.0
cust_00000395,12,11,12773.85,1161.26,1048.62,98.54,2.55
cust_00000396,28,3,7140.49,2380.16,3605.32,376.25,2.67
cust_00000397,67,3,658.91,219.64,122.47,25.67,2.0
cust_00000398,99,2,772.23,386.12,264.11,30.56,2.5
cust_00000399,110,2,1213.86,606.93,742.46,30.76,2.0
cust_00000400,37,2,1055.84,527.92,405.57,95.01,2.5
cust_00000401,3,13,15322.18,1178.63,613.19,135.21,2.31
cust_00000402,64,6,3653.78,608.96,366.77,75.58,2.33
cust_00000403,7,13,14046.56,1080.5,790.14,100.26,2.08
cust_00000404,68,12,20469.78,1705.81,1915.44,231.31,2.75
cust_00000405,132,3,1471.32,490.44,353.96,59.76,1.0
cust_00000406,57,13,12809.03,985.31,784.15,87.23,2.31
cust_00000407,34,6,11154.25,1859.04,2402.7,165.01,2.17
cust_00000408,177,3,2909.48,969.83,899.91,152.51,2.33
cust_00000409,235,2,422.65,211.32,117.57,27.12,1.5
cust_00000410,52,12,13564.68,1130.39,803.51,110.74,2.42
cust_00000411,46,3,13627.05,4542.35,6911.27,403.83,1.67
cust_00000412,155,4,1457.32,364.33,207.33,28.42,2.5
cust_00000413,191,5,3235.66,647.13,745.88,34.62,2.0
cust_00000414,21,4,5785.35,1446.34,669.99,138.29,2.75
cust_00000415,314,1,7.52,7.52,0.0,1.23,5.0
cust_00000416,177,2,989.62,494.81,621.42,26.82,4.0
cust_00000417,38,2,757.02,378.51,455.39,53.34,3.5
cust_00000418,43,14,16914.9,1208.21,1145.23,182.47,2.36
cust_00000419,36,5,4298.28,859.66,434.2,145.23,2.0
cust_00000420,64,2,1162.87,581.43,401.74,7.25,2.0
cust_00000421,7,9,14003.79,1555.98,1677.98,207.84,2.11
cust_00000422,1,7,2517.54,359.65,449.28,33.81,2.71
cust_00000423,133,3,781.76,260.59,93.13,26.03,2.0
cust_00000424,17,8,5586.43,698.3,495.08,57.92,2.12
cust_00000425,29,3,2451.66,817.22,721.92,50.32,2.0
cust_00000426,108,2,454.51,227.26,180.38,32.52,3.0
cust_00000427,4,7,19255.05,2750.72,4790.46,405.15,2.29
cust_00000428,207,2,1751.55,875.78,902.16,74.64,1.5
cust_00000429,30,9,10698.53,1188.73,1118.45,159.03,2.44
cust_00000430,50,3,783.14,261.05,187.19,10.27,1.33
cust_00000431,4,14,15295.36,1092.53,802.45,101.51,2.5
